2026-07-20T20:04:10.608Z	info	franz	kzap@v1.1.2/kzap.go:114	synced	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "receiver", "otelcol.signal": "logs", "group": "flowplane-opentelemetry-evidence-20260720t200343z", "assigned": "flowplane.opentelemetry.evidence.20260720t200343z.raw[0]"}
2026-07-20T20:04:10.608Z	info	franz	kzap@v1.1.2/kzap.go:114	new group session begun	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "receiver", "otelcol.signal": "logs", "group": "flowplane-opentelemetry-evidence-20260720t200343z", "added": "flowplane.opentelemetry.evidence.20260720t200343z.raw[0]", "lost": ""}
2026-07-20T20:04:10.608Z	info	franz	kzap@v1.1.2/kzap.go:114	beginning heartbeat loop	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "receiver", "otelcol.signal": "logs", "group": "flowplane-opentelemetry-evidence-20260720t200343z"}
2026-07-20T20:04:10.611Z	info	franz	kzap@v1.1.2/kzap.go:114	assigning partitions	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "receiver", "otelcol.signal": "logs", "why": "newly fetched offsets for group flowplane-opentelemetry-evidence-20260720t200343z", "how": "assigning everything new, keeping current assignment", "input": "flowplane.opentelemetry.evidence.20260720t200343z.raw[0{-2 e-1 ce0}]"}
2026-07-20T20:04:11.806Z	info	franz	kzap@v1.1.2/kzap.go:114	immediate metadata update triggered	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "exporter", "otelcol.signal": "logs", "why": "forced load because we are producing to a topic for the first time"}
2026-07-20T20:04:11.806Z	info	franz	kzap@v1.1.2/kzap.go:114	producing to a new topic for the first time, fetching metadata to learn its partitions	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "exporter", "otelcol.signal": "logs", "topic": "flowplane.opentelemetry.evidence.20260720t200343z.forwarded"}
2026-07-20T20:04:11.809Z	info	franz	kzap@v1.1.2/kzap.go:114	metadata update triggered	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "exporter", "otelcol.signal": "logs", "why": "reload trigger due to produce topic still not known"}
2026-07-20T20:04:11.809Z	info	franz	kzap@v1.1.2/kzap.go:114	done waiting for metadata for new topic	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "exporter", "otelcol.signal": "logs", "topic": "flowplane.opentelemetry.evidence.20260720t200343z.forwarded"}
2026-07-20T20:04:11.819Z	info	franz	kzap@v1.1.2/kzap.go:114	initializing producer id	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "exporter", "otelcol.signal": "logs"}
2026-07-20T20:04:11.822Z	info	franz	kzap@v1.1.2/kzap.go:114	producer id initialization success	{"resource": {"service.instance.id": "c6685ddf-ed52-46bb-b6b9-ac4387ec87f9", "service.name": "otelcol-contrib", "service.version": "0.149.0"}, "otelcol.component.id": "kafka", "otelcol.component.kind": "exporter", "otelcol.signal": "logs", "id": 39545, "epoch": 0}
