mode,status,mapping_version,artifact_hash,valid_input_sha256,expected_output_sha256,actual_output_sha256,invalid_input_sha256,expected_error,actual_error,expected_stage,actual_stage,runtime_or_adapter_version
EMBEDDED_JAVA_SDK,CONTRACT_VERIFIED,v2026.07.03,sha256:runtime-output-parity,4ca6e09eb1f41c32388b107866f9a531d1e9ba6145e59c89985fc2c596ca71f6,6afb9b453bb3f66f696621dec4de4bf23b57b4de1e16490691062d450c1d6a58,6afb9b453bb3f66f696621dec4de4bf23b57b4de1e16490691062d450c1d6a58,8125f6a46d19964506ad949a83e4a8fce44cc0059ba1aec83ce41d79c4a49aab,INVALID_PAYLOAD,INVALID_PAYLOAD,INPUT_PARSE,INPUT_PARSE,Flowplane 1.0.0-SNAPSHOT
HTTP_SINGLE,CONTRACT_VERIFIED,v2026.07.03,sha256:runtime-output-parity,4ca6e09eb1f41c32388b107866f9a531d1e9ba6145e59c89985fc2c596ca71f6,6afb9b453bb3f66f696621dec4de4bf23b57b4de1e16490691062d450c1d6a58,6afb9b453bb3f66f696621dec4de4bf23b57b4de1e16490691062d450c1d6a58,8125f6a46d19964506ad949a83e4a8fce44cc0059ba1aec83ce41d79c4a49aab,INVALID_PAYLOAD,INVALID_PAYLOAD,INPUT_PARSE,INPUT_PARSE,Spring Boot 3.5.16 / Jackson 2.21.5
HTTP_BATCH,CONTRACT_VERIFIED,v2026.07.03,sha256:runtime-output-parity,4ca6e09eb1f41c32388b107866f9a531d1e9ba6145e59c89985fc2c596ca71f6,6afb9b453bb3f66f696621dec4de4bf23b57b4de1e16490691062d450c1d6a58,6afb9b453bb3f66f696621dec4de4bf23b57b4de1e16490691062d450c1d6a58,8125f6a46d19964506ad949a83e4a8fce44cc0059ba1aec83ce41d79c4a49aab,INVALID_PAYLOAD,INVALID_PAYLOAD,INPUT_PARSE,INPUT_PARSE,Spring Boot 3.5.16 / Jackson 2.21.5
GRPC_BATCH,CONTRACT_VERIFIED,v2026.07.03,sha256:runtime-output-parity,4ca6e09eb1f41c32388b107866f9a531d1e9ba6145e59c89985fc2c596ca71f6,6afb9b453bb3f66f696621dec4de4bf23b57b4de1e16490691062d450c1d6a58,6afb9b453bb3f66f696621dec4de4bf23b57b4de1e16490691062d450c1d6a58,8125f6a46d19964506ad949a83e4a8fce44cc0059ba1aec83ce41d79c4a49aab,INVALID_PAYLOAD,INVALID_PAYLOAD,INPUT_PARSE,INPUT_PARSE,gRPC 1.82.2 / Protobuf 3.25.5
GRPC_STREAM,CONTRACT_VERIFIED,v2026.07.03,sha256:runtime-output-parity,4ca6e09eb1f41c32388b107866f9a531d1e9ba6145e59c89985fc2c596ca71f6,6afb9b453bb3f66f696621dec4de4bf23b57b4de1e16490691062d450c1d6a58,6afb9b453bb3f66f696621dec4de4bf23b57b4de1e16490691062d450c1d6a58,8125f6a46d19964506ad949a83e4a8fce44cc0059ba1aec83ce41d79c4a49aab,INVALID_PAYLOAD,INVALID_PAYLOAD,INPUT_PARSE,INPUT_PARSE,gRPC 1.82.2 / Protobuf 3.25.5
