# HELP vector_adaptive_concurrency_averaged_rtt adaptive_concurrency_averaged_rtt
# TYPE vector_adaptive_concurrency_averaged_rtt histogram
vector_adaptive_concurrency_back_pressure_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="512"} 1 1784577638075
vector_adaptive_concurrency_back_pressure_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="1024"} 1 1784577638075
vector_adaptive_concurrency_back_pressure_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="2048"} 1 1784577638075
vector_adaptive_concurrency_back_pressure_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="4096"} 1 1784577638075
vector_adaptive_concurrency_back_pressure_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="+Inf"} 1 1784577638075
vector_adaptive_concurrency_back_pressure_sum{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94"} 0 1784577638075
vector_adaptive_concurrency_back_pressure_count{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94"} 1 1784577638075
# HELP vector_adaptive_concurrency_in_flight adaptive_concurrency_in_flight
# TYPE vector_adaptive_concurrency_in_flight histogram
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.015625"} 87 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.03125"} 87 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.0625"} 87 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.125"} 87 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.25"} 87 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.5"} 87 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="1"} 197 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="2"} 220 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="4"} 220 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="8"} 220 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="16"} 220 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="32"} 220 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="64"} 220 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="128"} 220 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="256"} 220 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="512"} 220 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="1024"} 220 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="2048"} 220 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="4096"} 220 1784577638075
vector_adaptive_concurrency_in_flight_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="+Inf"} 220 1784577638075
vector_adaptive_concurrency_in_flight_sum{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94"} 156 1784577638075
vector_adaptive_concurrency_in_flight_count{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94"} 220 1784577638075
# HELP vector_adaptive_concurrency_limit adaptive_concurrency_limit
# TYPE vector_adaptive_concurrency_limit histogram
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.015625"} 0 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.03125"} 0 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.0625"} 0 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.125"} 0 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.25"} 0 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.5"} 0 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="1"} 0 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="2"} 1 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="4"} 1 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="8"} 1 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="16"} 1 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="32"} 1 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="64"} 1 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="128"} 1 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="256"} 1 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="512"} 1 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="1024"} 1 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="2048"} 1 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="4096"} 1 1784577638075
vector_adaptive_concurrency_limit_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="+Inf"} 1 1784577638075
vector_adaptive_concurrency_limit_sum{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94"} 2 1784577638075
vector_adaptive_concurrency_limit_count{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94"} 1 1784577638075
# HELP vector_adaptive_concurrency_observed_rtt adaptive_concurrency_observed_rtt
# TYPE vector_adaptive_concurrency_observed_rtt histogram
vector_adaptive_concurrency_observed_rtt_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.015625"} 84 1784577638075
vector_adaptive_concurrency_observed_rtt_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.03125"} 104 1784577638075
vector_adaptive_concurrency_observed_rtt_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.0625"} 109 1784577638075
vector_adaptive_concurrency_observed_rtt_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.125"} 109 1784577638075
vector_adaptive_concurrency_observed_rtt_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.25"} 109 1784577638075
vector_adaptive_concurrency_observed_rtt_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="0.5"} 109 1784577638075
vector_adaptive_concurrency_observed_rtt_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="1"} 110 1784577638075
vector_adaptive_concurrency_observed_rtt_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="2"} 110 1784577638075
vector_adaptive_concurrency_observed_rtt_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="4"} 110 1784577638075
vector_adaptive_concurrency_observed_rtt_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="8"} 110 1784577638075
vector_adaptive_concurrency_observed_rtt_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="16"} 110 1784577638075
vector_adaptive_concurrency_observed_rtt_bucket{component_id="flowplane_publisher_bridge",component_kind="sink",component_type="http",host="f59ff3401f94",le="32"} 110 1784577638075
